x;y;z
6238;433;8146
6241;434;8137
6243;428;8143
6239;428;8145
6239;430;8134
6245;425;8141
6241;431;8138
6228;431;8117
6236;428;8128
6237;432;8153
6241;434;8149
6238;435;8141
6236;440;8126
6238;430;8135
6238;430;8146
6235;429;8147
6235;431;8161
6247;431;8149
6238;428;8147
6241;432;8152
6241;427;8164
6240;433;8155
6231;432;8146
6229;438;8128
6238;434;8156
6246;427;8154
6242;429;8155
6239;429;8145
6245;430;8166
6236;429;8139
6239;435;8149
6243;424;8141
6239;426;8157
6241;427;8146
6235;433;8143
6245;437;8127
6239;433;8146
6229;437;8156
6235;433;8139
6239;432;8165
6232;431;8133
6240;433;8146
6235;429;8149
6242;434;8143
6240;431;8140
6233;430;8150
6230;431;8164
6233;430;8160
6242;431;8130
6233;432;8157
6238;433;8151
6237;430;8143
6231;432;8130
6231;432;8149
6230;434;8152
6223;427;8129
6230;432;8149
6238;427;8129
6231;429;8132
6245;431;8155
6235;428;8181
6236;427;8138
6242;426;8151
6244;427;8144
6239;431;8166
6227;430;8158
6229;431;8161
6237;425;8146
6240;432;8149
6244;428;8151
6229;425;8148
6234;428;8165
6231;434;8175
6235;427;8134
6239;428;8159
6236;435;8150
6231;438;8157
6234;428;8148
6237;436;8158
6237;435;8161
6229;430;8141
6242;426;8148
6239;434;8161
6239;432;8146
6231;433;8165
6237;434;8171
6234;437;8162
6241;432;8150
6226;439;8168
6239;433;8162
6234;430;8145
6241;440;8140
6243;438;8144
6235;437;8146
6239;431;8135
6234;430;8130
6232;432;8150
6231;435;8161
6238;433;8158
6235;434;8145
6231;429;8140
6230;433;8150
6234;434;8141
6242;434;8149
6227;435;8145
6240;434;8147
6244;441;8158
6238;434;8148
6239;429;8154
6235;437;8157
6243;432;8126
6239;428;8152
6223;428;8141
6234;426;8139
6225;430;8144
6236;432;8148
6230;432;8150
6233;434;8147
6226;433;8145
6232;429;8150
6231;435;8141
6241;429;8167
6229;424;8157
6234;421;8146
6234;430;8151
6228;429;8160
6237;430;8127
6225;433;8137
6235;434;8151
6241;422;8173
6235;432;8142
6237;427;8146
6237;431;8147
6239;425;8170
6233;423;8162
6231;421;8140
6233;426;8149
6232;425;8164
6231;428;8139
6236;427;8153
6246;422;8146
6248;385;8166
6269;352;8136
6235;228;8175
6197;65519;8192
6135;65221;8224
6071;64986;8250
6025;64860;8261
6019;64844;8266
6110;64890;8229
6371;64984;8077
6719;65038;7885
7032;64994;7710
7224;64825;7592
7326;64526;7475
7469;64256;7340
7755;64135;7111
8139;64178;6824
8617;64347;6491
9114;64589;6139
9655;64874;5758
10114;65162;5405
10403;65407;5215
10573;80;5105
10743;238;4979
10930;414;4834
11124;583;4670
11331;758;4493
11549;949;4297
11806;1168;4052
12079;1378;3795
12282;1540;3600
12444;1655;3420
12596;1781;3317
12800;1985;3186
13019;2213;3065
13159;2369;2940
13220;2412;2776
13234;2427;2652
13232;2443;2520
13366;2582;2392
13537;2780;2178
13704;2999;1953
13863;3159;1749
13987;3256;1566
14037;3320;1448
14086;3355;1296
14120;3411;1175
14229;3533;1057
14361;3733;899
14461;3918;778
14514;4016;660
14554;4041;574
14585;4055;464
14632;4059;367
14669;4090;235
14701;4193;66
14766;4304;65451
14804;4404;65337
14836;4507;65217
14863;4631;65108
14880;4709;64982
14890;4695;64827
14859;4527;64698
14827;4254;64662
14780;3980;64611
14733;3809;64566
14745;3765;64521
14829;3835;64493
14916;3905;64430
14917;3922;64437
14946;3986;64401
14944;4078;64315
14956;4200;64188
14970;4363;63985
14974;4568;63761
14973;4784;63556
14957;4977;63412
14923;4950;63240
14889;5351;63099
14845;5544;62947
14837;5839;62820
14814;6132;62758
14778;6180;62708
14735;6430;62623
14672;6662;62570
14625;6867;62496
14551;6797;62447
14492;6975;62381
14448;7338;62365
14403;7510;62359
14358;7486;62371
14292;7896;62332
14211;7880;62325
14110;8083;62317
14017;8285;62332
13911;8507;62302
13785;8729;62284
13671;8909;62259
13588;9032;62298
13499;9158;62279
13367;9566;62258
13188;9787;62214
13017;9958;62192
12833;10108;62174
12658;10236;62159
12504;10313;62131
12290;10389;62112
12104;10497;62127
11901;10622;62105
11702;10927;62090
11507;11012;62097
11286;11091;62100
11020;11183;62088
10748;11221;62070
10479;11261;62065
10224;11279;62062
10026;11309;62078
9850;11332;62070
9683;11332;62083
9451;11344;62086
9103;11337;62095
8668;11299;62105
8155;11223;62124
7632;11126;62154
7126;11042;62223
6641;10924;62289
6164;10803;62369
5662;10664;62453
5097;10465;62533
4455;10215;62623
3831;9960;62724
3271;9720;62851
2830;9514;62946
2480;9374;63017
2155;9204;63060
1756;8995;63152
1323;8759;63229
898;8527;63298
535;8318;63374
265;8169;63448
67;8057;63478
65405;7947;63536
65128;7793;63608
64769;7590;63703
64393;7377;63783
63999;7150;63895
63590;6906;64011
63116;6600;64155
62591;6278;64316
62022;5944;64510
61489;5626;64746
60973;5322;64984
60476;5026;65221
60026;4755;65489
59583;4505;271
59187;4290;659
58811;4098;1074
58436;3853;1403
58024;3565;1557
57694;3324;1593
57474;3159;1604
57334;3070;1613
57265;3019;1601
57261;3010;1598
57288;3028;1607
57315;3055;1568
57352;3079;1560
57392;3105;1558
57407;3128;1541
57427;3140;1533
57454;3157;1523
57466;3179;1518
57514;3199;1524
57544;3226;1492
57572;3245;1471
57611;3280;1466
57655;3310;1454
57703;3335;1406
57754;3377;1401
57807;3420;1376
57865;3457;1343
57931;3500;1327
57970;3537;1312
58015;3578;1291
58070;3611;1260
58112;3650;1251
58179;3686;1225
58231;3723;1203
58276;3758;1182
58321;3789;1161
58349;3817;1162
58386;3838;1144
58399;3853;1132
58417;3864;1143
58428;3868;1120
58434;3875;1127
58435;3848;1143
58366;3754;1225
58121;3600;1340
57740;3365;1496
57430;3153;1649
57266;3032;1749
57214;2992;1761
57222;2974;1755
57233;2962;1775
57221;2932;1728
57194;2897;1730
57031;2794;1763
56672;2539;1843
56118;2121;2087
55565;1702;2374
55126;1345;2601
54804;1088;2788
54568;884;2879
54339;698;2981
53962;387;3158
53323;65405;3486
52564;64758;3861
51939;64226;4169
51545;63848;4448
51202;63542;4656
51004;63307;4815
50908;63143;4969
50790;62997;5042
50595;62797;5128
50366;62555;5192
50152;62296;5302
49935;62038;5456
49785;61855;5638
49686;61713;5786
49570;61588;5945
49522;61499;6096
49480;61435;6208
49427;61356;6283
49379;61285;6314
49368;61294;6283
49408;61362;6221
49447;61440;6129
49595;61533;6021
49648;61673;5902
49660;61748;5797
49649;61701;5621
49490;61523;5473
49130;61199;5479
48859;60925;5598
48747;60768;5671
48647;60672;5578
48599;60596;5389
48592;60602;5107
48607;60586;4834
48587;60523;4607
48606;60414;4386
48581;60275;4236
48530;60104;4174
48477;59956;4149
48443;59855;4164
48436;59815;4145
48449;59809;4152
48439;59796;4150
48419;59755;4151
48422;59715;4174
48425;59740;4185
48426;59746;4168
48440;59740;4157
48412;59722;4165
48420;59723;4159
48425;59729;4161
48440;59748;4167
48412;59737;4210
48421;59738;4212
48405;59730;4223
48408;59722;4222
48402;59733;4225
48400;59761;4207
48438;59772;4157
48421;59766;4162
48445;59771;4124
48447;59804;4078
48495;59833;3995
48537;59896;3903
48605;59964;3769
48640;59999;3707
48622;60009;3714
48617;60074;3765
48635;60157;3833
48592;60135;3919
48501;60008;4022
48463;59906;4086
48412;59821;4103
48440;59801;4101
48444;59798;4118
48463;59748;4092
48432;59637;4117
48412;59524;4118
48402;59429;4100
48401;59338;4150
48358;59200;4184
48315;58995;4264
48273;58808;4387
48246;58658;4498
48497;58587;4517
48486;58529;4535
48276;58464;4576
48295;58393;4572
48302;58328;4579
48341;58264;4566
48377;58196;4585
48392;58135;4637
48403;58077;4654
48417;58026;4721
48421;57974;4736
48412;57928;4740
48450;57860;4777
48473;57757;4850
48506;57606;4955
48736;57469;5113
48535;57362;5231
48520;57317;5340
48510;57309;5420
48502;57298;5507
48454;57297;5663
48452;57260;5820
48477;57177;6042
48498;57066;6294
48536;56978;6607
48583;56893;6864
48632;56841;7065
48700;56796;7203
48748;56727;7338
48774;56648;7432
48787;56571;7510
48907;56486;7568
49077;56362;7705
49262;56206;7929
49497;56053;8065
49760;55900;8152
50039;55749;8215
50304;55640;8269
50572;55510;8285
50878;55366;8282
51158;55240;8254
51431;55155;8208
51727;55033;8189
52101;54916;8179
52500;54805;8118
52834;54724;8040
53125;54664;7918
53352;54616;7788
53610;54567;7673
53966;54521;7508
54350;54449;7368
54686;54421;7315
54927;54421;7280
55031;54427;7356
55067;54444;7390
55014;54475;7407
54887;54512;7404
54782;54534;7430
54645;54562;7406
54521;54582;7417
54508;54598;7449
54642;54588;7441
54876;54572;7478
55105;54540;7503
55280;54546;7580
55380;54548;7594
55434;54559;7633
55488;54564;7657
55598;54560;7703
55851;54558;7696
56211;54550;7705
56564;54545;7739
56878;54578;7806
57188;54588;7842
57463;54596;7929
57738;54631;7986
57995;54657;8031
58302;54701;8036
58682;54720;7995
59089;54796;7936
59423;54845;7915
59703;54915;7828
59967;54931;7757
60217;54933;7736
60395;54928;7725
60484;54908;7686
60484;54897;7679
60384;54873;7680
60314;54852;7653
60392;54830;7583
60637;54856;7489
60945;54891;7375
61252;54948;7283
61546;55009;7191
61816;55036;7115
62038;55081;7057
62273;55129;6989
62485;55171;6961
62693;55222;6912
63014;55291;6878
63390;55396;6815
63797;55517;6783
64269;55668;6702
64753;55767;6634
65182;55860;6509
65520;56017;6425
193;56061;6387
304;56091;6358
336;56114;6345
325;56097;6330
330;56095;6351
335;56108;6333
334;56092;6342
329;56108;6354
329;56112;6364
326;56103;6351
333;56106;6355
334;56099;6362
330;56120;6361
330;56110;6354
330;56097;6349
337;56101;6352
331;56101;6368
330;56096;6348
332;56098;6368
333;56101;6336
332;56093;6363
330;56106;6354
324;56100;6343
331;56099;6371
336;56102;6355
337;56105;6382
334;56100;6365
332;56109;6348
328;56098;6354
330;56098;6364
327;56108;6352
328;56106;6355
333;56111;6328
576;56190;6251
1181;56352;5943
1680;56513;5757
1870;56618;5718
1990;56675;5720
2179;56797;5759
2423;56964;5867
2665;57176;6007
2907;57374;6105
3204;57595;6176
3498;57805;6180
3782;57999;6155
4076;58186;6142
4300;58346;6122
4412;58409;6116
4471;58465;6133
4486;58528;6179
4488;58576;6251
4536;58634;6272
4678;58740;6246
4906;58898;6210
5168;59083;6149
5479;59291;6096
5776;59518;6058
5995;59719;5988
6081;59819;6005
6038;59833;6093
5884;59788;6213
5684;59733;6346
5463;59684;6505
5332;59685;6627
5300;59743;6721
5354;59822;6742
5513;59991;6732
5717;60171;6710
5828;60284;6697
5819;60318;6740
5738;60311;6783
5627;60290;6884
5500;60265;6978
5427;60297;7049
5464;60393;7071
5580;60538;7092
5692;60664;7082
5758;60757;7094
5787;60827;7103
5781;60893;7151
5726;60942;7210
5650;60978;7312
5573;61018;7377
5543;61060;7412
5570;61131;7433
5644;61240;7412
5773;61362;7412
5892;61494;7370
5962;61590;7379
5953;61609;7375
5891;61600;7411
5820;61587;7460
5741;61578;7501
5666;61577;7556
5577;61576;7633
5471;61594;7712
5355;61613;7808
5258;61649;7852
5211;61686;7922
5208;61769;7928
5243;61887;7964
5243;61982;7968
5255;62009;7977
5261;62010;7976
5248;62010;7992
5253;62016;7984
5259;62014;7989
5259;62009;7978
5254;62017;7999
5253;62008;7987
5251;62007;7991
5251;62010;7974
5262;62004;7985
5248;62008;7970
5250;62007;7979
5259;62001;7985
5266;62002;7987
5259;62004;7983
5250;62012;7971
5253;62004;8005
5260;61999;8009
5253;62007;7978
5253;62009;7993
5251;62013;7994
5253;62016;7979
5251;62014;7984
5250;62014;7982
5255;62006;7988
5258;62007;8009
5251;62013;7980
5254;62003;7973
5250;62010;7980
5252;62010;7988
5254;62014;8005
5256;62007;7997
5247;62020;7995
5255;62050;7978
5255;62017;7944
5266;61939;7944
5092;61792;8005
4931;61725;8087
4814;61794;8185
4715;61918;8253
4638;62097;8365
4615;62270;8397
4624;62378;8412
4615;62450;8460
4547;62513;8509
4435;62542;8561
4309;62566;8621
4219;62582;8677
4160;62593;8713
4122;62616;8746
3982;62694;8819
3724;62896;8947
3578;63057;9013
3546;63195;9031
3578;63339;8987
3637;63459;8944
3682;63539;8912
3699;63581;8907
3698;63608;8895
3663;63649;8886
3576;63705;8945
3444;63742;9060
3262;63746;9195
3075;63794;9247
2962;63833;9312
2904;63859;9332
2838;63890;9379
2777;63902;9398
2728;63918;9419
2705;63951;9436
2678;63987;9459
2643;64006;9493
2595;64032;9502
2581;64057;9499
2553;64094;9500
2533;64124;9519
2505;64150;9515
2489;64156;9538
2464;64163;9544
2443;64174;9550
2422;64177;9573
2398;64189;9573
2380;64216;9572
2363;64242;9586
2337;64260;9585
2318;64282;9591
2295;64282;9617
2265;64285;9632
2213;64276;9667
2154;64267;9695
2097;64264;9739
2050;64289;9757
2041;64358;9736
2060;64478;9724
2059;64612;9667
2005;64703;9663
1920;64743;9691
1849;64755;9719
1812;64746;9776
1774;64740;9783
1758;64737;9788
1741;64733;9789
1736;64764;9787
1763;64853;9746
1770;64956;9711
1757;65036;9681
1752;65079;9674
1751;65098;9656
1731;65076;9656
1688;65010;9716
1654;64949;9734
1676;64900;9718
1726;64865;9706
1789;64841;9679
1861;64826;9615
1863;64876;9564
1857;64917;9524
1863;64941;9491
1867;64954;9469
1838;64997;9465
1786;65012;9475
1777;65065;9519
1783;65085;9545
1805;65105;9545
1807;65113;9540
1791;65104;9564
1770;65086;9575
1731;65072;9587
1654;65058;9604
1468;65068;9650
1235;65054;9730
963;65024;9766
689;64988;9847
484;64964;9871
227;64946;9938
65521;64932;9962
65310;64933;9995
65146;64944;10028
64952;64960;10033
64844;64976;10050
64717;64988;10051
64622;65001;10084
64513;65027;10085
64386;65032;10101
64278;65056;10105
64162;65071;10108
64072;65089;10094
64022;65119;10114
63963;65150;10109
63901;65166;10103
63837;65192;10104
63788;65207;10103
63739;65222;10098
63649;65242;10088
63553;65245;10088
63468;65238;10088
63361;65226;10089
63253;65219;10107
63099;65219;10124
62927;65217;10105
62812;65219;10100
62743;65228;10138
62656;65210;10124
62513;65211;10123
62321;65202;10121
62121;65199;10124
61945;65187;10121
61766;65183;10117
61636;65173;10140
61507;65143;10135
61383;65126;10145
61234;65104;10157
61082;65082;10138
60890;65058;10138
60704;65035;10142
60600;65021;10146
60613;65034;10118
60690;65052;10106
60798;65072;10084
60754;65067;10093
60771;65072;10067
60781;65070;10071
60774;65072;10079
60777;65073;10084
60776;65070;10079
60773;65076;10070
60763;65072;10073
60764;65067;10081
60774;65072;10062
60768;65068;10071
60774;65071;10087
60776;65073;10081
60772;65070;10069
60784;65075;10090
60775;65073;10066
60781;65072;10095
60776;65075;10076
60777;65067;10058
60771;65065;10082
60771;65067;10088
60765;65068;10095
60769;65072;10096
60770;65070;10079
60775;65067;10091
60768;65072;10097
60772;65065;10088
60778;65071;10084
60773;65072;10077
60770;65073;10084
60776;65067;10091
60777;65069;10088
60824;65057;10099
61062;65060;10098
61303;65136;10000
61477;65088;10000
61545;65016;10017
61457;64903;10083
61274;64782;10179
61056;64709;10256
60677;64555;10292
60191;64398;10325
59806;64318;10328
59612;64300;10316
59559;64304;10298
59586;64325;10274
59669;64402;10251
59750;64491;10183
59772;64600;10176
59758;64740;10074
59646;64869;10008
59500;64998;9934
59355;65149;9839
59263;65301;9726
59223;65457;9622
59267;70;9534
59377;209;9447
59523;369;9370
59700;553;9272
59910;782;9184
60123;1016;9071
60311;1213;8965
60454;1385;8891
60608;1554;8818
60767;1739;8722
60929;1919;8612
61122;2107;8513
61339;2289;8404
61560;2451;8337
61777;2601;8284
61957;2721;8228
62075;2821;8175
62139;2892;8113
62180;2937;8114
62224;2987;8089
62303;3048;8046
62429;3151;8004
62598;3277;7926
62775;3414;7860
62910;3520;7814
63005;3606;7765
63084;3687;7695
63198;3791;7644
63323;3902;7586
63479;4028;7515
63647;4195;7407
63825;4370;7310
63967;4551;7193
64083;4686;7093
64157;4773;7016
64221;4861;6974
64327;4970;6878
64478;5096;6810
64662;5234;6715
64920;5422;6618
65325;5631;6534
314;5828;6495
879;6006;6460
1414;6170;6416
1969;6377;6296
2597;6593;6180
3187;6739;6119
3712;6790;6105
4223;6832;6076
4654;6810;6095
5017;6722;6114
5280;6593;6166
5505;6439;6264
5736;6286;6316
5929;6111;6401
6104;5938;6458
6233;5758;6512
6369;5573;6565
6455;5379;6628
6543;5184;6709
6604;5000;6783
6623;4856;6817
6627;4734;6864
6630;4628;6926
6618;4560;6971
6591;4499;6988
6590;4464;7004
6597;4459;7017
6609;4472;6986
6622;4471;6986
6617;4475;6980
6625;4475;6951
6616;4471;6977
6601;4469;6995
6592;4462;6999
6591;4461;7006
6587;4462;7019
6610;4466;6987
6617;4475;7004
6612;4462;7003
6613;4469;6963
6650;4446;6969
6632;4374;6985
6642;4313;7008
6631;4262;7039
6576;4218;7063
6441;4177;7141
6242;4148;7192
6011;4118;7291
5811;4091;7368
5671;4107;7430
5586;4111;7464
5552;4110;7462
5499;4076;7510
5341;4003;7576
5199;3930;7654
5083;3882;7703
5056;3856;7749
5019;3844;7783
4993;3868;7783
4971;3881;7790
4840;3855;7860
4426;3739;7949
4144;3664;8024
3957;3621;8104
3712;3556;8175
3438;3503;8240
3159;3441;8331
2860;3363;8397
2676;3318;8466
2454;3272;8521
2251;3244;8559
2081;3230;8582
1933;3213;8616
1818;3200;8618
1754;3191;8639
1660;3164;8665
1594;3165;8672
1440;3140;8708
1205;3117;8717
967;3106;8722
746;3095;8766
571;3088;8768
453;3078;8751
392;3086;8731
348;3108;8730
289;3144;8723
229;3185;8675
201;3230;8662
140;3234;8650
77;3228;8639
65528;3213;8630
65438;3223;8632
65318;3227;8639
65202;3226;8610
65090;3204;8637
65029;3165;8666
65016;3132;8661
65053;3152;8682
65131;3189;8635
65226;3222;8633
65302;3240;8603
65383;3264;8621
65445;3305;8600
65452;3411;8549
27;3592;8438
215;3644;8426
346;3609;8441
417;3615;8440
469;3723;8368
572;3821;8328
706;3863;8311
805;3846;8318
880;3812;8345
954;3871;8280
1034;3925;8264
1094;3940;8258
1128;3921;8273
1137;3886;8280
1131;3873;8303
1136;3908;8269
1141;3927;8264
1139;3918;8280
1141;3889;8284
1129;3873;8279
1136;3904;8288
1134;3926;8261
1138;3893;8268
1130;3875;8300
1140;3892;8273
1140;3909;8249
1129;3890;8277
1139;3883;8302
1139;3904;8285
1137;3896;8284
1134;3886;8292
1141;3897;8289
1134;3894;8274
1139;3887;8282
1127;3898;8294
1143;3888;8285
1137;3893;8302
1138;3900;8284
1136;3947;8239
1045;3984;8184
872;3904;8208
888;3848;8274
876;3816;8311
744;3781;8338
603;3758;8325
505;3744;8329
408;3754;8320
395;3799;8254
439;3889;8210
419;3946;8158
319;3954;8171
188;3938;8185
6;3916;8205
65393;3898;8193
65220;3889;8182
65012;3869;8160
64800;3842;8149
64613;3820;8138
64488;3847;8093
64405;3878;8077
64305;3910;8021
64177;3917;7985
63984;3915;7962
63748;3911;7926
63492;3882;7871
63301;3871;7847
63182;3874;7801
63129;3909;7742
63078;3955;7687
63007;3999;7635
62901;4056;7543
62765;4098;7440
62614;4122;7376
62461;4129;7310
62273;4084;7292
62101;4037;7274
61968;4034;7216
61881;4041;7163
61813;4066;7088
61744;4105;7024
61677;4131;6967
61590;4153;6879
61483;4158;6834
61356;4124;6803
61238;4098;6780
61191;4123;6709
61195;4195;6637
61197;4253;6566
61146;4277;6464
61059;4282;6400
60968;4301;6307
60882;4315;6226
60785;4307;6188
60672;4263;6155
60534;4197;6147
60344;4090;6163
60118;3949;6166
59883;3797;6201
59643;3634;6268
59435;3478;6332
59253;3325;6423
59133;3234;6471
59112;3229;6460
59115;3228;6463
59116;3233;6475
59117;3232;6472
59115;3232;6458
59120;3227;6464
59119;3231;6459
59116;3236;6462
59119;3232;6444
59113;3231;6473
59120;3233;6448
59112;3232;6457
59114;3231;6467
59112;3230;6450
59116;3229;6449
59110;3226;6449
59117;3234;6458
59117;3234;6475
59117;3231;6454
59117;3234;6464
59113;3230;6459
59120;3230;6455
59116;3227;6445
59116;3231;6451
59111;3228;6467
59110;3222;6462
59075;3189;6472
58956;3090;6525
58885;3030;6544
58862;3022;6541
58858;3025;6536
58740;2999;6460
58609;2988;6360
58524;2993;6285
58450;2987;6218
58354;2944;6163
58173;2844;6131
57884;2659;6133
57492;2409;6174
57109;2159;6178
56853;1993;6175
56683;1906;6148
56570;1845;6116
56484;1796;6065
56412;1778;6033
56320;1743;5962
56210;1699;5915
56109;1661;5762
56033;1633;5686
55948;1624;5589
55845;1606;5500
55838;1615;5425
55818;1619;5396
55800;1635;5300
55789;1650;5203
55750;1651;5099
55690;1634;5003
55632;1603;4928
55500;1544;4825
55332;1446;4742
55177;1331;4621
55045;1255;4518
54982;1223;4436
54944;1208;4339
54886;1175;4201
54796;1130;4094
54720;1058;3975
54642;1003;3877
54595;964;3757
54552;941;3649
54567;942;3521
54590;975;3429
54678;1032;3323
54760;1100;3224
54832;1162;3164
54934;1252;3070
55053;1338;2939
55157;1416;2797
55200;1439;2633
55220;1453;2511
55248;1455;2385
55306;1473;2234
55362;1497;2069
55449;1538;1918
55467;1515;1786
55412;1407;1686
55346;1280;1523
55290;1175;1323
55243;1053;1135
55191;932;985
55096;818;913
55055;744;880
55048;740;883
55040;743;854
55033;742;876
55030;742;878
55035;737;889
55022;735;882
55040;735;877
55028;734;874
55021;736;863
55025;736;874
55034;735;880
55057;737;871
55033;731;870
55034;735;871
55037;729;864
55029;736;869
55038;734;886
55030;731;875
55029;734;871
55030;733;881
55041;732;873
55033;739;869
55037;738;868
55029;732;874
55026;735;883
55031;734;886
55035;740;865
55031;742;887
55035;740;866
55031;738;874
55032;736;887
55033;736;873
55029;736;876
55026;737;883
55025;736;856
54927;656;930
54659;448;1075
54600;379;1111
54593;383;1109
54646;402;1040
54744;422;853
54872;419;647
54910;350;405
54973;235;206
55064;140;65508
55117;21;65272
55149;65417;65006
55305;65367;64783
55533;65417;64544
55800;65504;64298
56041;10;64102
56230;65530;63895
56411;65474;63698
56567;65392;63480
56722;65309;63321
56839;65193;63163
56888;65062;63042
56962;64922;62923
57047;64816;62802
57176;64758;62697
57323;64755;62555
57491;64764;62456
57677;64760;62324
57885;64737;62160
58097;64702;62039
58305;64655;61897
58466;64595;61788
58587;64562;61688
58711;64553;61609
58858;64556;61557
59071;64525;61434
59311;64435;61266
59508;64332;61128
59671;64287;61046
59812;64298;60963
60004;64306;60880
60141;64312;60846
60236;64308;60794
60388;64306;60709
60527;64314;60649
60632;64344;60611
60740;64410;60539
60847;64467;60492
60849;64479;60491
60844;64483;60501
60873;64491;60476
60863;64481;60495
60866;64484;60483
60857;64480;60494
60871;64488;60475
60867;64486;60487
60863;64486;60473
60872;64490;60484
60874;64489;60473
60881;64491;60476
60878;64490;60476
60873;64490;60492
60873;64490;60464
60866;64488;60466
60869;64486;60490
60868;64487;60494
60872;64495;60474
60875;64494;60484
60875;64488;60496
60872;64492;60473
60870;64489;60492
60875;64491;60474
60870;64489;60490
60875;64485;60492
60883;64485;60471
60868;64490;60500
60848;64481;60504
60814;64470;60568
60831;64522;60596
60934;64649;60570
61105;64758;60518
61463;64877;60423
61875;65044;60278
62343;65249;60141
62820;65484;60004
63238;146;59914
63546;289;59813
63826;398;59757
63972;463;59728
64142;511;59673
64320;555;59634
64449;583;59608
64559;599;59586
64621;594;59541
64680;602;59513
64751;623;59466
64900;652;59455
65015;673;59445
65247;702;59428
4;793;59387
289;854;59329
466;896;59306
605;920;59303
720;939;59266
780;955;59289
859;951;59284
1013;916;59313
1283;859;59367
1450;822;59330
1452;901;59315
1694;1172;59253
2164;1475;59103
2494;1635;58961
2507;1641;58960
2333;1448;59019
2012;1281;59166
1795;1178;59237
1785;1077;59241
1806;1135;59225
1942;1254;59181
2154;1387;59108
2289;1444;59037
2308;1464;59036
2251;1431;59069
2118;1371;59126
1983;1296;59157
1943;1257;59185
1996;1303;59152
2115;1371;59100
2205;1418;59071
2236;1429;59065
2175;1399;59087
2054;1339;59138
1977;1286;59150
1980;1285;59153
2065;1342;59130
2158;1392;59097
2186;1405;59085
2140;1383;59104
2054;1333;59131
2008;1301;59154
2052;1339;59135
2125;1381;59130
2134;1382;59107
2092;1362;59109
2038;1326;59153
2042;1328;59129
2101;1367;59130
2125;1381;59102
2095;1362;59129
2046;1331;59122
2057;1346;59110
2095;1352;59098
2058;1336;59129
2063;1350;59132
2081;1355;59101
2057;1346;59138
2074;1347;59134
2065;1352;59131
2067;1350;59120
2080;1354;59123
2061;1348;59130
2070;1352;59142
2073;1350;59146
2062;1353;59137
2068;1349;59118
2065;1348;59118
2068;1354;59132
2063;1355;59141
2067;1357;59134
2065;1352;59119
2066;1354;59147
2063;1351;59135
2061;1355;59125
2064;1353;59134
2064;1348;59132
2068;1349;59131
2061;1349;59133
2063;1351;59151
2067;1353;59124
2066;1362;59110
2064;1350;59145
2065;1354;59131
2068;1354;59129
2068;1351;59125
2060;1353;59107
2070;1351;59116
2065;1349;59146
2065;1355;59119
2060;1345;59121
2062;1347;59133
2064;1346;59120
2065;1352;59125
2067;1350;59133
2067;1351;59126
2063;1350;59144
2066;1352;59133
2069;1351;59127
2067;1350;59129
2061;1353;59130
2064;1355;59125
2065;1353;59134
2065;1358;59147
2065;1349;59121
2069;1348;59115
2067;1354;59127
2069;1348;59136
2067;1350;59135
2060;1350;59126
2066;1352;59121
2068;1349;59118
2069;1353;59137
2072;1351;59129
2062;1353;59135
2064;1350;59134
2068;1352;59127
2067;1347;59152
2063;1352;59123
2072;1350;59119